공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
서울대학교병원 데이터분석/머신러닝 연구원 및 대학원생 채용,서울대학교병원,등록일 23/08/29,~ 10/28(토),서울 종로구,경력무관,대졸↑,계약직,,"머신러닝, 데이터분석가, 데이터엔지니어, 딥러닝, 빅데이터 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46461329&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"AI, 머신러닝 데이터분석가 등 신입 및 경력 채용",(주)에이아이더뉴트리진,수정일 23/10/10,~ 10/31(화),서울 강남구,신입·경력,대졸↑,정규직,,"머신러닝, 데이터분석가, 빅데이터, AI(인공지능), Python 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46724313&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"AI, 빅데이터, 머신러닝 연구원 모집",(주)씽크풀,등록일 23/09/25,~ 10/25(수),서울 영등포구,경력무관,대졸↑,정규직,,"머신러닝, 데이터분석가, 빅데이터, AI(인공지능), C# 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46646570&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"개발자(웹/앱 애플리케이션), 연구개발(IoT, 머신러닝, 인공지능",(주)소울웨어,수정일 23/09/04,~ 11/02(목),서울 강남구,신입·경력,초대졸↑,정규직·계약직,"3,000 (면접 후 협의)","머신러닝, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드 외 수정일 23/09/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46496096&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직 채용,디앤아이 컨설팅㈜,등록일 23/09/21,~ 10/31(화),서울 동대문구,경력무관,대졸↑,정규직,,"머신러닝, 데이터분석가, 빅데이터, AI(인공지능), 딥러닝 외 등록일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46627356&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"머신러닝 엔지니어(영상처리, 컴퓨터비전/딥러닝)",(주)리플에이아이,등록일 23/10/10,상시채용,서울 강남구,경력 1~9년,학력무관,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 네트워크 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728651&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"머신러닝&인공지능(AI)&Python 外 정규직, 인턴 채용 연장",(주)더블유에이아이,등록일 23/10/04,~ 11/03(금),서울 중구,신입·경력,대졸↑,정규직·계약직,,"머신러닝, 데이터분석가, 빅데이터, AI(인공지능), Python 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46684787&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
인공지능/머신러닝 엔지니어 정규직 채용,(주)틸다,수정일 23/10/05,~ 11/03(금),서울 강남구,신입·경력,고졸↑,정규직,,"머신러닝, 딥러닝, 솔루션, 알고리즘, DLP 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46690369&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝/딥러닝 엔지니어 모집(전문연구요원 지원 가능),(주)아크릴,등록일 23/09/15,상시채용,서울 강남구,경력무관,석사↑,정규직,,"머신러닝, 딥러닝, NLP(자연어처리), NLU(자연어이해), VR(가상현실) 외 등록일 23/09/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46592439&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 엔지니어 / AI Researcher,아이헤이트플라잉버그스(주),등록일 23/10/11,상시채용,서울전체,경력 5~10년,학력무관,정규직,,"머신러닝, 데이터분석가, 백엔드/서버개발, 웹개발, 딥러닝 외 등록일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46733926&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"머신러닝 엔지니어(Speech, 오디오 처리)",(주)리플에이아이,등록일 23/10/10,상시채용,서울 강남구,경력 1~9년,학력무관,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 네트워크 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728522&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"시스템 개발 담당[머신러닝, C# 프로그래머 경력/신입]",에피텍(주),등록일 23/10/10,상시채용,서울 영등포구,신입·경력,초대졸↑,정규직,,"머신러닝, 데이터엔지니어, C#, C++, 하드웨어 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728990&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 소프트웨어 엔지니어,(주)피플펀드컴퍼니,수정일 23/10/06,상시채용,서울 서초구,신입·경력,대졸↑,정규직,,"머신러닝, 데이터분석가, 백엔드/서버개발, 웹개발, 딥러닝 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46665272&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[신입] 컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식),(주)에프에스솔루션,수정일 23/09/18,~ 10/15(일),경기 성남시 수정구,신입,대졸↑,정규직,,"머신러닝, 딥러닝, 신경망, 알고리즘, 영상처리 외 수정일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46360708&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
데이터 분석 / 머신러닝 개발자,(주)바딧,등록일 23/09/18,~ 10/13(금),서울전체,신입·경력,고졸↑,정규직,,"머신러닝, 데이터분석가, SE(시스템엔지니어), 데이터마이닝, 데이터시각화 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46599507&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
비전검사 / 자동화 검사 / 인공지능 / 머신러닝 제어 개발자 정규직 채용,(주)엔지온시스템,수정일 23/03/15,상시채용,경기전체,신입·경력,학력무관,정규직,,"머신러닝, 데이터분석가, 딥러닝, 블록체인, 빅데이터 외 수정일 23/03/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45274061&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"아이트럭에서 머신러닝 신입, 초급 개발자를 모십니다 :)",(주)아이트럭,수정일 23/09/15,상시채용,서울 서초구,신입·경력,초대졸↑,정규직,,"머신러닝, Pandas, Python, numpy, 모바일 외 수정일 23/09/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46423678&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
"딥러닝, 머신러닝 활용 인공지능(AI) 개발자 채용",(주)에이아이포블록체인,수정일 23/09/13,~ 10/31(화),경기 의왕시,경력무관,석사↑,정규직,,"머신러닝, 딥러닝, AI(인공지능), Python, 네트워크 외 수정일 23/09/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46570115&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 엔지니어 채용,(주)온택트헬스,등록일 23/09/26,~ 10/26(목),서울 서대문구,신입·경력,석사↑,정규직,,"머신러닝, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발 외 등록일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46659706&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
인공지능/머신러닝 엔지니어 채용,(주)액션파워,수정일 23/01/18,상시채용,서울전체,신입·경력,석사↑,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 딥러닝 외 수정일 23/01/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=43586786&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝엔지니어(Computer Vision) 정규직/병역특례 채용,(주)카비,등록일 23/09/21,~ 10/21(토),서울 금천구,경력무관,석사↑,정규직·전문연구요원,,"머신러닝, 딥러닝, 모델링, 솔루션, 알고리즘 외 등록일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46625707&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 엔지니어 (자연어 추천 시스템 개발) 채용,(주)하렉스인포텍,수정일 23/10/05,~ 11/03(금),서울 중구,경력2년↑,대졸↑,정규직,,"머신러닝, 검색엔진, 딥러닝, NLP(자연어처리), NLU(자연어이해) 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46699363&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝/딥러닝 개발자_AI기술팀,슈어소프트테크(주),등록일 23/03/28,상시채용,경기전체,경력 3~7년,초대졸↑,정규직,,"머신러닝, 딥러닝, 빅데이터, 알고리즘, S/W 외 등록일 23/03/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45366246&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[ESTsoft] 비전 머신러닝 엔지니어 (경력),(주)이스트소프트,수정일 23/03/24,상시채용,서울 서초구,경력 3~15년,학력무관,정규직,,"머신러닝, 데이터분석가, 딥러닝, 블록체인, 빅데이터 외 수정일 23/03/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45341190&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[리디] 머신러닝 엔지니어,리디(주),수정일 23/07/13,상시채용,서울 강남구,경력 2~10년,초대졸↑,정규직,,"머신러닝, 데이터분석가, 백엔드/서버개발, 웹개발, SE(시스템엔지니어) 외 수정일 23/07/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44442221&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
컨설팅부문 AI/DnA팀 (머신러닝/딥러닝) 컨설턴트 경력직,한영회계법인,등록일 23/10/04,~ 10/17(화),서울 영등포구,경력,대졸↑,정규직,,"머신러닝, IT컨설팅, 딥러닝, AI(인공지능), 컨설턴트 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46690104&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝/딥러닝 엔지니어,(주)딥브레인에이아이,등록일 23/04/03,상시채용,서울 강남구,경력 3~20년,학력무관,정규직,,"머신러닝, 데이터분석가, 딥러닝, 블록체인, 빅데이터 외 등록일 23/04/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45408595&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[경력·전문연] 딥러닝/머신러닝 개발자 채용(내일채움공제가능),아이넷캅,등록일 23/08/30,~ 10/27(금),서울 송파구,신입·경력,석사↑,정규직·전문연구요원,,"머신러닝, Pandas, Python, Tensorflow, 딥러닝 외 등록일 23/08/30",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46465998&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 개발자,(주)휴레이포지티브,수정일 23/08/22,상시채용,서울 강남구,경력 2~9년,학력무관,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 딥러닝 외 수정일 23/08/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46293040&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
유명 IT기업 머신러닝 엔지니어 모집,(주)헬로서치,등록일 23/09/30,~ 10/30(월),서울 강남구,경력3년↑,학력무관,정규직,,"머신러닝, 딥러닝, 빅데이터, AI(인공지능), Docker 외 등록일 23/09/30",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46670883&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝/인공지능(경력 3년 이상),(주)노르마,등록일 23/07/20,상시채용,서울 성동구,경력 3~10년,대졸↑,정규직,,"머신러닝, 데이터분석가, SE(시스템엔지니어), 딥러닝, 블록체인 외 등록일 23/07/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46190639&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (팀장급),(주)에프에스솔루션,등록일 23/08/29,상시채용,경기전체,경력 10~15년,대졸↑,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 딥러닝 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463291&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (3년이상),(주)에프에스솔루션,등록일 23/08/29,상시채용,경기전체,경력 3~9년,대졸↑,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 딥러닝 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463251&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (신입),(주)에프에스솔루션,등록일 23/08/29,상시채용,경기전체,신입·경력,대졸↑,정규직,,"머신러닝, 데이터분석가, 웹개발, SE(시스템엔지니어), 딥러닝 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463234&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[물류IT회사] 빅데이터 머신러닝 개발/운영,(주)씨앤에이코리아,등록일 23/10/07,~ 10/21(토),서울 마포구,경력 4~12년,대졸↑,정규직,,"머신러닝, 빅데이터, Java, JSP, NoSQL 외 등록일 23/10/07",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46714134&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 개발자,(주)아이트럭,수정일 23/09/12,상시채용,서울 서초구,경력 5~10년,학력무관,정규직,,"머신러닝, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화 외 수정일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46024453&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[머신러닝 AI ] Backend Engineer,(주)에스유스카우트,등록일 23/10/04,~ 10/17(화),서울 서초구,경력5년↑,대졸↑,정규직,,"머신러닝, 백엔드/서버개발, MySQL, PostgreSQL, Python 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46680904&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[머신러닝 AI] 강화학습,(주)에스유스카우트,등록일 23/10/04,~ 10/17(화),서울 서초구,신입·경력,대졸↑,정규직,,"머신러닝, 알고리즘, Redis, 헤드헌팅 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46680955&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
[머신러닝 AI ] ML Engineer,(주)에스유스카우트,등록일 23/10/04,~ 10/17(화),서울 서초구,경력2년↑,대졸↑,정규직,,"머신러닝, 알고리즘, 헤드헌팅 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46680924&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
머신러닝 엔지니어 모집(의료영상솔루션),리뉴피플 주식회사,수정일 23/10/11,채용시,서울 강남구,경력 3~10년,석사↑,정규직,,"머신러닝, 검색엔진, 데이터라벨링, 데이터마이닝, 데이터시각화 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46656429&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=b7efbee4-ce6b-4a5f-bdbe-eab505683ae6
인공지능/머신러닝/딥러닝 데이터분석 및 모형개발 인재 모집,파인트리파트너스(주),등록일 23/09/14,상시채용,서울 마포구,경력무관,학력무관,정규직·인턴직,,"금융컨설팅, 데이터분석, DW 등록일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46581515&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
[ESTsoft] 비전 머신러닝 엔지니어 (경력),(주)이스트소프트,수정일 23/03/24,상시채용,서울 서초구,경력 3~15년,학력무관,정규직,,"머신러닝, 알고리즘, 블록체인, 빅데이터, 딥러닝 외 수정일 23/03/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45341190&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
인공지능 서비스 연구개발자,오케스트로(주),등록일 23/08/17,상시채용,서울전체,신입·경력,학력무관,정규직,,"머신러닝, AI(인공지능), NLP(자연어처리), Python, Pytorch 외 등록일 23/08/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46378368&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
[(주)씨이랩] ML FW개발자 모집,(주)씨이랩,등록일 23/09/20,~ 10/20(금),서울 강남구,경력3년↑,대졸↑,정규직,,"머신러닝, Redis, SQL, Python, Pytorch 외 등록일 23/09/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46617811&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
[강남구] 딥러닝 솔루션 SW 청년 개발자 채용,(주)디퍼아이,등록일 23/09/05,~ 11/04(토),서울 강남구,경력무관,학력무관,정규직,,"머신러닝, FPGA, Python, Pytorch, 컴퓨터비전 외 등록일 23/09/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46514871&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
"머신러닝 엔지니어(Speech, 오디오 처리)",(주)리플에이아이,등록일 23/10/10,상시채용,서울 강남구,경력 1~9년,학력무관,정규직,,"머신러닝, Python, Pytorch, 모델링, SE(시스템엔지니어) 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46728522&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
"딥러닝, 머신비전 S/W 개발자 모집(신입, 경력 무관)",(주)에스에이치텍,등록일 23/10/05,~ 10/31(화),경기 수원시 권선구,경력무관,고졸↑,정규직,,"알고리즘, 영상처리, S/W, C#, C++ 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46698874&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
[경력] '23년 AI/ML Engineer 직무 채용,(주)아모레퍼시픽,수정일 23/10/05,~ 10/23(월),서울전체,경력2년↑,대졸↑,정규직,,"Tensorflow, AI(인공지능), Python, Pytorch, 화장품 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46694761&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
초연결팀 머신비전 개발자 채용,에스디티(주),등록일 23/09/20,상시채용,서울 강남구,경력 1~8년,대졸↑,정규직,,"머신러닝, OpenCV, Python, Pytorch, SE(시스템엔지니어) 외 등록일 23/09/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46617263&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
ML 기반 서비스 Backend 개발자,SK텔레콤(주),수정일 23/09/19,~ 10/18(수),서울 중구,경력3년↑,대졸↑,정규직,,"머신러닝, 클라우드, 백엔드/서버개발, 무선통신 수정일 23/09/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46612988&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
Deep Learning Researcher AI 딥러닝 음성 엔지니어 (병역특례 전문연구원 가능),(주)클레온,수정일 23/10/05,상시채용,서울 중구,경력 3~10년,대졸↑,정규직,,"머신러닝, AI(인공지능), TTS, Python, Pytorch 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46533276&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
[딥브레인AI] 딥러닝 엔지니어 모집 (24년 편입 전문연구요원),(주)딥브레인에이아이,등록일 23/09/22,~ 10/22(일),서울 강남구,경력무관,석사↑,정규직,,"머신러닝, 알고리즘, VR(가상현실), 영상처리, 빅데이터 외 등록일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46636782&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=2e455453-9b28-4aee-a2dd-3fc696698b52
